,n,is_64_bit,kalman_run,sqrt_run,inf_run,sqinf_run,kalman_comp,sqrt_comp,inf_comp,sqinf_comp
0,10,True,0.005437908172607422,0.031055183410644532,0.009159784317016601,0.03205637454986572,0.5615551471710205,0.6320228576660156,1.6683731079101562,1.5692811012268066
1,11,True,0.0053745293617248535,0.03139041185379028,0.009206433296203614,0.032499589920043946,0.555199146270752,0.6251978874206543,1.8187706470489502,1.6053402423858643
2,12,True,0.0054214406013488765,0.0315351939201355,0.009213635921478272,0.03260103464126587,0.5641376972198486,0.6567513942718506,1.688828706741333,1.5920054912567139
3,13,True,0.005693349838256836,0.0317667555809021,0.009176335334777831,0.03281618595123291,0.5830938816070557,0.6556305885314941,1.7249398231506348,1.6373989582061768
4,14,True,0.005520572662353515,0.031875216960906984,0.0089483642578125,0.03290492057800293,0.57688307762146,0.6469719409942627,1.7488484382629395,1.6324224472045898
5,15,True,0.005576090812683105,0.03196939706802368,0.009272456169128418,0.03308226108551025,0.570183515548706,0.6583871841430664,1.7855141162872314,1.6682076454162598
6,16,True,0.005504539012908935,0.03204376935958862,0.00870525360107422,0.03322923183441162,0.5986385345458984,0.6664597988128662,1.5699462890625,1.66802978515625
7,17,True,0.0064977359771728515,0.03425246238708496,0.010220928192138672,0.035900070667266845,0.5889995098114014,0.6977417469024658,1.4720518589019775,1.5166442394256592
8,18,True,0.0065638494491577146,0.03436787605285645,0.010063557624816895,0.03594748497009277,0.5846283435821533,0.70859694480896,1.532191514968872,1.623072862625122
9,19,True,0.0064501333236694335,0.03445034265518188,0.01007195472717285,0.03651459455490112,0.5820918083190918,0.7175800800323486,1.5615127086639404,1.6343514919281006
10,20,True,0.00668370246887207,0.034581446647644044,0.009930624961853027,0.03607630252838135,0.5791990756988525,0.7043144702911377,1.4941446781158447,1.571124792098999
11,21,True,0.0066743302345275875,0.03485387563705444,0.00992461919784546,0.036657726764678954,0.5893194675445557,0.683262825012207,1.590949535369873,1.6803109645843506
12,22,True,0.006540732383728027,0.03497703552246094,0.009800665378570557,0.036408355236053465,0.613314151763916,0.7168877124786377,1.6234641075134277,1.6958138942718506
13,23,True,0.006646614074707031,0.03502142667770386,0.009821693897247314,0.03646428346633911,0.6001832485198975,0.7191903591156006,1.5338547229766846,1.6052241325378418
14,24,True,0.006804530620574951,0.03505739450454712,0.009717628955841065,0.036683318614959715,0.6099181175231934,0.7084193229675293,1.5891480445861816,1.671600580215454
15,25,True,0.006822609901428222,0.03692718744277954,0.010133941173553467,0.038252401351928714,0.6385931968688965,0.736006498336792,2.200810432434082,1.7096912860870361
16,26,True,0.006887605190277099,0.03698331117630005,0.009678881168365478,0.038357012271881104,0.6026463508605957,0.7333846092224121,1.5750653743743896,1.6274731159210205
17,27,True,0.006696767807006836,0.037043604850769046,0.009777498245239259,0.03880051136016846,0.5958757400512695,0.7398018836975098,1.6451959609985352,1.716599464416504
18,28,True,0.006928293704986572,0.03718357563018799,0.009607725143432617,0.0389640212059021,0.614405632019043,0.7231142520904541,1.7390029430389404,1.731001615524292
19,29,True,0.006863067150115967,0.03747838735580444,0.00966761350631714,0.03911982297897339,0.615532636642456,0.7121446132659912,1.5907835960388184,1.6513524055480957
