,n,is_64_bit,kalman_run,sqrt_run,inf_run,sqinf_run,kalman_comp,sqrt_comp,inf_comp,sqinf_comp
0,10,False,,0.006489672660827637,,0.007053179740905762,0.47083330154418945,0.556420087814331,1.4943501949310303,0.9016079902648926
1,11,False,,0.006478917598724365,,0.00710986852645874,0.5161535739898682,0.5295121669769287,1.662534475326538,0.8518204689025879
2,12,False,,0.006965928077697754,,0.007106649875640869,0.48552894592285156,0.566307544708252,1.7762541770935059,0.9749755859375
3,13,False,,0.00647770643234253,,0.007123074531555176,0.542670488357544,0.6414468288421631,1.68790864944458,0.9557933807373047
4,14,False,,0.007152788639068604,,0.007138314247131347,0.46303534507751465,0.5806221961975098,1.8888492584228516,0.9832277297973633
5,15,False,,0.006544950008392334,,0.007168231010437012,0.5354323387145996,0.5486555099487305,1.9272847175598145,0.8944087028503418
6,16,False,,0.006521751880645752,,0.0072253036499023435,0.45438313484191895,0.5563876628875732,1.066584825515747,0.9078032970428467
7,17,False,,0.0072097468376159666,,0.007690496444702148,0.6085669994354248,0.720083475112915,1.1913766860961914,0.9341025352478027
8,18,False,,0.007046284675598144,,0.007710130214691162,0.5372486114501953,0.6953632831573486,1.1253478527069092,0.9594402313232422
9,19,False,,0.007096750736236572,,0.0077508163452148435,0.5622239112854004,0.657834529876709,0.9809436798095703,0.8565187454223633
10,20,False,,0.007116646766662598,,0.0077506923675537106,0.534168004989624,0.6813023090362549,1.1025543212890625,1.1087870597839355
11,21,False,,0.00712522029876709,,0.007807309627532959,0.5559163093566895,0.6499361991882324,1.0700838565826416,0.8878633975982666
12,22,False,,0.007163608074188232,,0.007844882011413574,0.606264591217041,0.6338415145874023,1.0022952556610107,0.8865861892700195
13,23,False,,0.007417116165161133,,0.00783031702041626,0.6337215900421143,0.6489324569702148,1.0030999183654785,0.8941233158111572
14,24,False,,0.007367620468139649,,0.007824046611785889,0.5678865909576416,0.6421983242034912,0.9950997829437256,0.9694912433624268
15,25,False,,0.007459950447082519,,0.008125689029693604,0.5726306438446045,0.7504358291625977,1.1108229160308838,0.9947693347930908
16,26,False,,0.00748199462890625,,0.008141844272613526,0.6237971782684326,0.6570825576782227,1.1120245456695557,1.0158543586730957
17,27,False,,0.007533357143402099,,0.008164756298065186,0.6131231784820557,0.7212376594543457,1.0296568870544434,0.9139869213104248
18,28,False,,0.007502260208129882,,0.008172011375427246,0.6289937496185303,0.7128245830535889,1.0895473957061768,0.9262130260467529
19,29,False,,0.007695732116699219,,0.008222649097442627,0.6340289115905762,0.6923737525939941,1.0765330791473389,0.9330785274505615
20,30,False,,0.007589454650878906,,0.008233609199523926,0.6128535270690918,0.6603066921234131,1.2580623626708984,0.9491920471191406
21,31,False,,0.007650530338287354,,0.008246793746948242,0.5634605884552002,0.773867130279541,1.0480451583862305,1.0420327186584473
22,32,False,,0.007616369724273681,,0.008267936706542968,0.5833871364593506,0.646409273147583,1.0550687313079834,0.8520681858062744
23,33,False,,0.008297395706176759,,0.008926825523376465,0.6490662097930908,0.7790253162384033,1.3003699779510498,0.9044926166534424
24,34,False,,0.008327159881591797,,0.008947887420654298,0.6532201766967773,0.7452290058135986,1.1848304271697998,0.9939305782318115
25,35,False,,0.008316049575805664,,0.008949003219604491,0.6427466869354248,0.7071335315704346,1.1133110523223877,0.8946113586425781
26,36,False,,0.008346946239471435,,0.009006567001342773,0.5839407444000244,0.7000222206115723,1.2176361083984375,0.9764852523803711
27,37,False,,0.008386092185974121,,0.009024467468261719,0.5822803974151611,0.6968638896942139,1.0390822887420654,0.9783589839935303
28,38,False,,0.008385396003723145,,0.009034290313720703,0.590620756149292,0.6797933578491211,1.172715425491333,0.8870172500610352
29,39,False,,0.00842855215072632,,0.009057798385620118,0.6708528995513916,0.7994616031646729,1.24906325340271,0.9672183990478516
30,40,False,,0.008421230316162109,,0.009039225578308106,0.5968227386474609,0.7066912651062012,1.161968469619751,0.9736223220825195
31,41,False,,0.00871175765991211,,0.009355454444885255,0.5948641300201416,0.6995606422424316,1.0451810359954834,0.9931910037994385
32,42,False,,0.008732824325561524,,0.009412243366241455,0.6380555629730225,0.7019689083099365,1.1132853031158447,0.9814243316650391
33,43,False,,0.008808832168579101,,0.009398024082183837,0.5854911804199219,0.7775745391845703,1.0495991706848145,0.959848165512085
34,44,False,,0.008813462257385253,,0.009440221786499024,0.6272101402282715,0.6810750961303711,1.3025562763214111,0.8896887302398682
35,45,False,,0.008817613124847412,,0.009489469528198242,0.6404330730438232,0.688450813293457,1.3093833923339844,0.9960629940032959
36,46,False,,0.008850405216217041,,0.009489839076995849,0.6483283042907715,0.692371129989624,1.0857300758361816,0.9147214889526367
37,47,False,,0.008827435970306396,,0.009490084648132325,0.5861740112304688,0.7761297225952148,1.0966310501098633,1.0526301860809326
38,48,False,,0.008860952854156494,,0.009495580196380615,0.598034143447876,0.722327470779419,1.2884626388549805,1.0379393100738525
39,49,False,,0.009392399787902832,,0.010054223537445069,0.5892159938812256,0.694791316986084,1.1320083141326904,0.975593090057373
40,50,False,,0.009430251121520995,,0.010055620670318604,0.6229109764099121,0.787316083908081,1.2890262603759766,1.052536964416504
41,51,False,,0.00944401979446411,,0.010085875988006593,0.6263866424560547,0.7040221691131592,1.0560038089752197,1.106844425201416
42,52,False,,0.009475164413452149,,0.010133559703826905,0.5818674564361572,0.6909115314483643,1.3401565551757812,1.253978967666626
43,53,False,,0.00947927713394165,,0.010137779712677002,0.6155261993408203,0.7207880020141602,1.0681352615356445,0.8980746269226074
44,54,False,,0.009515273571014404,,0.010165202617645263,0.584221363067627,0.7772331237792969,1.2598705291748047,0.9767129421234131
45,55,False,,0.009522509574890137,,0.010175185203552246,0.6265616416931152,0.7147724628448486,1.1471407413482666,1.016420602798462
46,56,False,,0.009523167610168456,,0.010167944431304931,0.592125654220581,0.7757484912872314,1.1314311027526855,1.0875155925750732
47,57,False,,0.009851179122924804,,0.010478067398071288,0.6318106651306152,0.7436590194702148,1.0745530128479004,0.9544577598571777
48,58,False,,0.009886443614959717,,0.010535824298858642,0.6562750339508057,0.6914181709289551,1.1086781024932861,1.0795261859893799
49,59,False,,0.009895179271697998,,0.010537283420562744,0.6050300598144531,0.7691817283630371,1.188713788986206,0.9775481224060059
50,60,False,,0.009934237003326416,,0.010590791702270508,0.574873685836792,0.6793320178985596,1.239522933959961,0.9994809627532959
51,61,False,,0.009947571754455566,,0.010610303878784179,0.5952520370483398,0.6899886131286621,1.0483572483062744,0.8855023384094238
