1.0,4.7583203,3.1927254,-2.5318334,1.2305841,-4.1534696,-1.2594332,0.8639372
1.0,2.7765412,3.1330059,-2.6210737,1.373408,-5.296521,-1.7898667,0.27576828
1.0,3.865853,3.022769,-2.5646524,1.2603111,-4.9210644,-1.5044678,0.3701921
1.0,2.83795,2.950842,-2.5720098,1.2743068,-5.5111856,-1.6454667,-0.20463909
1.0,3.7920775,2.8185694,-2.4525363,1.0988723,-5.993212,-1.8005497,-0.9422128
0.0,3.7920775,2.8185694,-2.4525363,1.0988723,-5.993212,-1.8005497,-0.9422128
0.0,3.7920775,2.8185694,-2.4525363,1.0988723,-5.993212,-1.8005497,-0.9422128
0.0,3.7920775,2.8185694,-2.4525363,1.0988723,-5.993212,-1.8005497,-0.9422128
1.0,2.88005,2.7637856,-2.4878798,1.1534612,-6.4012113,-1.9369072,-1.2582347
1.0,3.737558,2.630489,-2.5016,1.1410707,-6.0231223,-1.8305519,-0.17068365
1.0,2.9196167,2.5603862,-2.530625,1.176245,-6.453678,-2.0170696,-1.1123937
1.0,3.6928508,2.439355,-2.5732143,1.2076257,-5.633293,-1.7279787,-1.8860103
0.0,3.6928508,2.439355,-2.5732143,1.2076257,-5.633293,-1.7279787,-1.8860103
0.0,3.6928508,2.439355,-2.5732143,1.2076257,-5.633293,-1.7279787,-1.8860103
1.0,2.9481063,2.3675947,-2.559528,1.1796501,-6.397381,-1.9546913,-2.5291724
1.0,3.6530182,2.251868,-2.6432986,1.2023011,-5.874778,-1.822249,-1.3814096
0.0,3.6530182,2.251868,-2.6432986,1.2023011,-5.874778,-1.822249,-1.3814096
0.0,3.6530182,2.251868,-2.6432986,1.2023011,-5.874778,-1.822249,-1.3814096
1.0,2.9778867,2.1978917,-2.723637,1.2705777,-6.2138476,-2.0029335,-0.941286
1.0,3.619569,2.150612,-2.6624305,1.1670107,-5.8408446,-1.9797099,-2.5261443
1.0,3.0003974,2.0964224,-2.6862643,1.2226894,-6.312631,-2.0976467,-1.8330562
1.0,3.5949352,2.0174234,-2.6896791,1.1982555,-6.245302,-1.9221989,-2.363597
0.0,3.5949352,2.0174234,-2.6896791,1.1982555,-6.245302,-1.9221989,-2.363597
1.0,3.0181878,1.9328835,-2.7202232,1.2283591,-6.511764,-2.1463797,-2.6077278
1.0,3.5707285,1.8495047,-2.7033963,1.2010199,-6.5213876,-1.9722056,-3.1302452
1.0,3.0404232,1.7774028,-2.7236717,1.2216054,-6.7881107,-2.1932123,-3.089268
1.0,3.5443883,1.6730689,-2.813672,1.2885491,-6.4704785,-1.9412566,-2.9152646
