K,prop_scale,j,acceptance_rate,par_time,seq_time,success,iterations
100,1e-05,0,0.97999996,1.117185115814209,10.91369915008545,True,240
100,1e-05,1,0.987,1.0087971687316895,10.890597343444824,True,233
100,1e-05,2,0.98429996,1.099705457687378,10.849605083465576,True,232
100,1e-05,3,0.9769,1.0402262210845947,10.860870838165283,True,243
100,1e-05,4,0.9823,1.0201494693756104,10.85412883758545,True,237
100,1e-05,5,0.9831,1.0785367488861084,10.85012936592102,True,236
100,1e-05,6,0.9859,1.0304336547851562,10.875254392623901,True,234
100,1e-05,7,0.9851,1.053856611251831,10.93400502204895,True,231
100,1e-05,8,0.9891,1.082780122756958,10.864104986190796,True,228
100,1e-05,9,0.98319995,1.026789665222168,10.889893770217896,True,239
100,0.006132244897959183,0,0.5563,3.953529119491577,10.94636082649231,True,2792
100,0.006132244897959183,1,0.56619996,4.032286167144775,10.909510850906372,True,2825
100,0.006132244897959183,2,0.5697,4.003530263900757,10.917861700057983,True,2808
100,0.006132244897959183,3,0.5625,3.9000320434570312,10.917430877685547,True,2756
100,0.006132244897959183,4,0.5697,3.9703285694122314,10.891713380813599,True,2808
100,0.006132244897959183,5,0.5592,3.986112356185913,10.868110179901123,True,2845
100,0.006132244897959183,6,0.5747,4.001411199569702,10.912420511245728,True,2867
100,0.006132244897959183,7,0.5706,3.9702389240264893,10.879133462905884,True,2835
100,0.006132244897959183,8,0.5675,3.9431443214416504,10.90147614479065,True,2813
100,0.006132244897959183,9,0.5751,3.985414981842041,10.8934965133667,True,2824
100,0.012254489795918366,0,0.4305,4.35280966758728,10.86945915222168,True,3204
100,0.012254489795918366,1,0.43609998,4.5246262550354,10.920641422271729,True,3309
100,0.012254489795918366,2,0.4405,4.446382999420166,10.96878695487976,True,3234
100,0.012254489795918366,3,0.44169998,4.348861455917358,11.051726818084717,True,3087
100,0.012254489795918366,4,0.44099998,4.508692741394043,10.850512981414795,True,3213
100,0.012254489795918366,5,0.4296,4.49832558631897,10.837459325790405,True,3216
100,0.012254489795918366,6,0.43919998,4.481536865234375,10.85155701637268,True,3229
100,0.012254489795918366,7,0.4371,4.345580339431763,10.828070878982544,True,3173
100,0.012254489795918366,8,0.43269998,4.374791860580444,10.833207368850708,True,3190
100,0.012254489795918366,9,0.4464,4.4593658447265625,10.87894058227539,True,3245
100,0.018376734693877548,0,0.35549998,4.45246958732605,10.83240795135498,True,3245
100,0.018376734693877548,1,0.352,4.626271486282349,10.863346815109253,True,3350
100,0.018376734693877548,2,0.3692,4.660836935043335,10.903244972229004,True,3336
100,0.018376734693877548,3,0.36429998,4.486942291259766,10.89262580871582,True,3213
