,n,is_64_bit,kalman_run,sqrt_run,inf_run,sqinf_run,kalman_comp,sqrt_comp,inf_comp,sqinf_comp
0,10,True,0.0067475223541259765,0.023554565906524657,0.010027971267700195,0.02531017541885376,0.2783524990081787,0.33989620208740234,1.4531896114349365,0.7551259994506836
1,11,True,0.006527688503265381,0.023648509979248045,0.010045368671417237,0.025451865196228027,0.30370306968688965,0.3310561180114746,1.0847265720367432,0.7689180374145508
2,12,True,0.006661574840545654,0.023757755756378174,0.010001130104064941,0.0254998779296875,0.30993056297302246,0.3368372917175293,1.1303431987762451,0.7904186248779297
3,13,True,0.006610660552978515,0.023890197277069092,0.010096421241760254,0.025673701763153076,0.2891230583190918,0.3598802089691162,1.0610368251800537,0.8641366958618164
4,14,True,0.006764750480651855,0.02395912170410156,0.010065896511077881,0.025772724151611328,0.3095364570617676,0.3364994525909424,1.1813082695007324,0.8854689598083496
5,15,True,0.006836965084075928,0.02409825086593628,0.010128295421600342,0.02592737674713135,0.31321096420288086,0.3411288261413574,1.2229094505310059,0.8802034854888916
6,16,True,0.006698861122131348,0.02413633346557617,0.00990185260772705,0.02600337505340576,0.31934380531311035,0.3706843852996826,0.8159723281860352,0.8053104877471924
7,17,True,0.006990516185760498,0.02549851894378662,0.01116349220275879,0.02802999973297119,0.3066716194152832,0.37416815757751465,0.8869073390960693,0.7905182838439941
8,18,True,0.006898844242095947,0.025631597042083742,0.011043431758880616,0.02795520544052124,0.3178250789642334,0.37844181060791016,0.8805837631225586,0.8790872097015381
9,19,True,0.006804831027984619,0.02573762893676758,0.011041007041931152,0.028095641136169434,0.31873250007629395,0.3819413185119629,0.8931055068969727,0.8801872730255127
10,20,True,0.007113504409790039,0.02581402063369751,0.01093904972076416,0.028142931461334227,0.4784221649169922,0.37334418296813965,0.8358738422393799,0.8830685615539551
11,21,True,0.007104625701904297,0.02596308946609497,0.010961151123046875,0.028255624771118162,0.32780027389526367,0.38040947914123535,0.9253075122833252,0.8850276470184326
12,22,True,0.006937239170074463,0.026069161891937257,0.010827288627624512,0.028280720710754395,0.3237335681915283,0.3847081661224365,0.9191741943359375,0.8964447975158691
13,23,True,0.007010011672973633,0.026149168014526367,0.010833189487457276,0.02844684839248657,0.3253178596496582,0.38651537895202637,0.9144539833068848,0.9074885845184326
14,24,True,0.007161433696746826,0.02625724792480469,0.010754656791687012,0.028448336124420166,0.5265524387359619,0.35431480407714844,0.8655314445495605,0.8311202526092529
15,25,True,0.007394733428955078,0.027040979862213134,0.010741477012634277,0.02918143033981323,0.30782318115234375,0.39154505729675293,0.946178674697876,0.856029748916626
16,26,True,0.007114684581756592,0.027126004695892336,0.010715737342834472,0.02932791233062744,0.32697248458862305,0.36368346214294434,0.9465396404266357,0.8579070568084717
17,27,True,0.007395462989807129,0.027248954772949217,0.010724856853485107,0.029418277740478515,0.33765244483947754,0.39705967903137207,0.8790230751037598,0.9175558090209961
18,28,True,0.007175805568695068,0.027360382080078124,0.01069054365158081,0.029477908611297607,0.3399238586425781,0.36086487770080566,0.9033598899841309,0.9216926097869873
19,29,True,0.007232117652893067,0.027492365837097167,0.010735223293304444,0.029551615715026857,0.3223404884338379,0.3913917541503906,0.9684407711029053,0.864405632019043
20,30,True,0.007289328575134277,0.02756904125213623,0.010703082084655762,0.029653866291046143,0.3373391628265381,0.38264918327331543,0.9089000225067139,0.9422566890716553
21,31,True,0.0072486352920532226,0.02768231153488159,0.01074101448059082,0.02975095272064209,0.3201782703399658,0.37724995613098145,0.9106183052062988,0.9727230072021484
22,32,True,0.007425112724304199,0.02771295785903931,0.010257551670074463,0.029587602615356444,0.31209516525268555,0.3862941265106201,0.9916214942932129,0.9733068943023682
23,33,True,0.00775585651397705,0.029288201332092284,0.011411261558532716,0.03154670000076294,0.35135936737060547,0.41948890686035156,1.0055158138275146,1.0325946807861328
24,34,True,0.0075326871871948245,0.02940452575683594,0.01126451015472412,0.03158618927001953,0.33969616889953613,0.422243595123291,1.0878000259399414,1.0191762447357178
25,35,True,0.007657389640808105,0.029552154541015625,0.011281909942626954,0.03172362327575683,0.33184146881103516,0.42278027534484863,1.0007941722869873,1.0380582809448242
26,36,True,0.007669222354888916,0.029656512737274168,0.011152713298797608,0.03178430080413818,0.3488144874572754,0.42252254486083984,1.1042587757110596,0.951561450958252
27,37,True,0.007802891731262207,0.029708988666534424,0.011165676116943359,0.03186619758605957,0.35524606704711914,0.40105533599853516,1.035585641860962,1.0201168060302734
28,38,True,0.00785902738571167,0.029848766326904298,0.011032893657684326,0.031950273513793946,0.35216665267944336,0.392169713973999,1.1127381324768066,0.9470996856689453
29,39,True,0.007935969829559327,0.0299250864982605,0.011087985038757324,0.03209805011749268,0.35648036003112793,0.42330002784729004,1.1118032932281494,0.9590229988098145
30,40,True,0.007983996868133544,0.029944102764129638,0.010996129512786865,0.032029027938842776,0.3258075714111328,0.3931903839111328,1.1144061088562012,0.9608192443847656
31,41,True,0.00807093620300293,0.030754504203796388,0.011011357307434083,0.03279973983764648,0.35496068000793457,0.3952162265777588,1.0521624088287354,0.9671173095703125
32,42,True,0.007827930450439453,0.03096129894256592,0.01092355489730835,0.03284604072570801,0.3299133777618408,0.4190950393676758,1.1167221069335938,0.9701151847839355
33,43,True,0.00812086820602417,0.030996780395507812,0.010955915451049805,0.033100247383117676,0.36103057861328125,0.38932013511657715,1.117645263671875,1.0604214668273926
34,44,True,0.007842521667480468,0.031126601696014403,0.010902483463287354,0.033068959712982175,0.33643603324890137,0.42479777336120605,1.0398714542388916,1.0792207717895508
35,45,True,0.008038291931152344,0.03128897190093994,0.010930001735687256,0.033231937885284425,0.3347172737121582,0.39224934577941895,1.059953212738037,1.003809928894043
36,46,True,0.008033280372619628,0.0313801908493042,0.01092876672744751,0.03338659763336182,0.3564727306365967,0.41733741760253906,1.0438239574432373,0.980257511138916
37,47,True,0.008108460903167724,0.03144305229187012,0.010938367843627929,0.033400723934173586,0.35390543937683105,0.39139580726623535,1.1574645042419434,1.0661323070526123
38,48,True,0.008005144596099854,0.031501314640045165,0.010469176769256593,0.03329404354095459,0.3217189311981201,0.41738200187683105,1.0430021286010742,1.080171823501587
39,49,True,0.008392636775970458,0.033137080669403074,0.011580848693847656,0.0352285623550415,0.3278994560241699,0.4218113422393799,1.1750011444091797,1.0122919082641602
40,50,True,0.008359563350677491,0.03322460889816284,0.0114223051071167,0.03524432897567749,0.3536567687988281,0.4186887741088867,1.0813584327697754,1.0970289707183838
41,51,True,0.008542110919952392,0.03325861692428589,0.011449859142303467,0.03541306495666504,0.32961297035217285,0.4166429042816162,1.0165965557098389,1.1751205921173096
42,52,True,0.008494844436645508,0.033443446159362795,0.011335880756378173,0.03548727750778198,0.3471827507019043,0.39112281799316406,1.116590976715088,1.3412652015686035
43,53,True,0.008235585689544678,0.033487801551818845,0.011360921859741212,0.03565084457397461,0.3268730640411377,0.41362738609313965,0.852715253829956,0.94791579246521
44,54,True,0.008409316539764405,0.03358787536621094,0.011259765625,0.03566465377807617,0.34752559661865234,0.38959407806396484,1.0345029830932617,1.0966811180114746
45,55,True,0.008568692207336425,0.03361259460449219,0.01127030611038208,0.03575048446655273,0.3536407947540283,0.419752836227417,0.9936060905456543,1.0248205661773682
46,56,True,0.008563799858093262,0.03385430097579956,0.011154134273529053,0.03569612264633179,0.32534146308898926,0.3894634246826172,1.033348798751831,1.046337604522705
47,57,True,0.008697059154510498,0.03472531080245972,0.011190829277038574,0.03670941114425659,0.33180975914001465,0.38579368591308594,1.0684044361114502,1.0874600410461426
48,58,True,0.008475537300109864,0.034732003211975095,0.0110756254196167,0.03663312911987305,0.34826111793518066,0.3855865001678467,1.1778090000152588,1.0780973434448242
49,59,True,0.00840324878692627,0.03494472026824951,0.0111383056640625,0.036799139976501465,0.3309640884399414,0.41109704971313477,0.9779391288757324,0.9481320381164551
50,60,True,0.008777403831481933,0.03506686925888061,0.011101794242858887,0.036827893257141114,0.32578229904174805,0.3825037479400635,1.1616106033325195,1.0771799087524414
